"","County","County.Code_16","Deaths_16","Population_16","Crude.Rate_16","Age.Adjusted.Rate_16","County.Code_17","Deaths_17","Population_17","Crude.Rate_17","Age.Adjusted.Rate_17","County.Code","Deaths","Population","Crude.Rate","Age.Adjusted.Rate","avg_rate","deaths2018"
"1","Autauga County, AL",1001,520,55416,"938.357",884.387,1001,528,55504,"951.283",856.997,1001,536,55601,"964.011",834.565,858.649666666667,477.417801163333
"2","Baldwin County, AL",1003,1974,208563,"946.477",716.918,1003,2189,212628,"1029.498",770.137,1003,2357,218022,"1081.084",790.314,759.123,1655.05514706
"3","Barbour County, AL",1005,256,25965,"985.943",800.676,1005,320,25270,"1266.324",986.293,1005,312,24881,"1253.969",954.797,913.922,227.39293282
"4","Bibb County, AL",1007,239,22643,"1055.514",927.671,1007,271,22668,"1195.518",1024.548,1007,276,22400,"1232.143",1033.4,995.206333333333,222.926218666667
"5","Blount County, AL",1009,697,57704,"1207.889",989.37,1009,712,58013,"1227.311",1004.771,1009,689,57840,"1191.217",948.53,980.890333333333,567.3469688
"6","Bullock County, AL",1011,133,10362,"1283.536",1063.013,1011,125,10309,"1212.533",1013.941,1011,112,10138,"1104.754",912.975,996.643,101.03966734
"7","Butler County, AL",1013,275,19998,"1375.138",1013.996,1013,239,19825,"1205.549",897.251,1013,296,19680,"1504.065",1066.319,992.522,195.3283296
"8","Calhoun County, AL",1015,1404,114611,"1225.013",1023.857,1015,1523,114728,"1327.488",1086.334,1015,1590,114277,"1391.356",1118.535,1076.242,1229.89707034
"9","Chambers County, AL",1017,460,33843,"1359.218",1015.773,1017,450,33713,"1334.797",996.888,1017,420,33615,"1249.442",919.187,977.282666666667,328.5135684
"10","Cherokee County, AL",1019,361,25725,"1403.304",1022.322,1019,346,25857,"1338.129",930.497,1019,348,26032,"1336.816",936.697,963.172,250.73293504
"11","Chilton County, AL",1021,475,43941,"1080.995",920.046,1021,520,44067,"1180.021",998.804,1021,510,44153,"1155.074",974.657,964.502333333333,425.856715236667
"12","Choctaw County, AL",1023,180,12993,"1385.361",978.949,1023,177,12945,"1367.323",894.469,1023,191,12841,"1487.423",971.89,948.436,121.78866676
"13","Clarke County, AL",1025,315,24392,"1291.407",942.78,1025,282,24083,"1170.95",842.334,1025,317,23920,"1325.251",956.014,913.709333333333,218.559272533333
"14","Clay County, AL",1027,177,13492,"1311.889",916.944,1027,164,13367,"1226.902",898.012,1027,184,13275,"1386.064",966.426,927.127333333333,123.0761535
"15","Cleburne County, AL",1029,191,14924,"1279.818",971.264,1029,194,14900,"1302.013",982.344,1029,173,14987,"1154.334",830.021,927.876333333333,139.060826076667
"16","Coffee County, AL",1031,508,51226,"991.684",843.297,1031,526,51874,"1013.995",844.06,1031,592,51909,"1140.457",927.543,871.633333333333,452.456147
"17","Colbert County, AL",1033,707,54216,"1304.043",955.832,1033,692,54500,"1269.725",911.804,1033,783,54762,"1429.824",1028.945,965.527,528.74189574
"18","Conecuh County, AL",1035,153,12395,"1234.369",822.671,1035,174,12469,"1395.461",924.143,1035,179,12277,"1458.011",984.113,910.309,111.75863593
